csv start


rating	hourly_rate	estimated_budget	total_spent_by_client	country	payment_verified	job_url_main	job_title		time_posted	skill_level	estimated_time
Rating is 4.9 out of 5.	Hourly: $8-$18	Less than 30 hrs/week	$6K+	United States	Payment verified	https://www.upwork.com/jobs/Notion-Expert-Needed-Build-Custom-Metrics-Dashboard-with-API-Integrations_~021883750895705183438/?referrer_url_path=find_work_home	Notion Expert Needed to Build Custom Metrics Dashboard with API Integrations		25 minutes ago	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly	30+ hrs/week	$3K+	India	Payment verified	https://www.upwork.com/jobs/GTM-Strategist-for-Powered-EdTech-Platform_~021883748930514375886/?referrer_url_path=find_work_home	GTM Strategist for AI-Powered EdTech Platform		33 minutes ago	Intermediate	Est. Time:
Rating is 0 out of 5.	Hourly	Less than 30 hrs/week	$0	Singapore	Payment verified	https://www.upwork.com/jobs/High-School-Exercise-Management-System-using_~021883746246190289455/?referrer_url_path=find_work_home	High School Exercise Management System using AI		43 minutes ago	Intermediate	Est. Time:
Rating is 5 out of 5.	Hourly	Less than 30 hrs/week	$2K+	United States	Payment verified	https://www.upwork.com/jobs/Web-Interface-Developer-for-SaaS-Key-Metrics-Dashboard_~021883743521201668571/?referrer_url_path=find_work_home	Web Interface Developer for SaaS Key Metrics Dashboard		54 minutes ago	Intermediate	Est. Time:
Rating is 0 out of 5.	Hourly	Less than 30 hrs/week	$0	United States	Payment verified	https://www.upwork.com/jobs/Automation-Tool-and-Agent-Development-Relevance_~021883740932643994268/?referrer_url_path=find_work_home	Automation Tool and Agent Development in Relevance AI		1 hour ago	Intermediate	Est. Time:
Rating is 4.8 out of 5.	Hourly	30+ hrs/week	$10K+	United States	Payment verified	https://www.upwork.com/jobs/Chatbot-Setup-and-Client-Scheduling-Expert-Needed_~021883737775880780444/?referrer_url_path=find_work_home	AI Chatbot Setup and Client Scheduling Expert Needed		1 hour ago	Intermediate	Est. Time:
Rating is 4.9 out of 5.	Fixed-price	$2,000	$900K+	United States	Payment verified	https://www.upwork.com/jobs/Subject-Matter-Expert-for-Retrieval-Augmented-Generation-RAG-Based-Question-Development_~021883737202629136943/?referrer_url_path=find_work_home	Subject Matter Expert for Retrieval-Augmented Generation (RAG)-Based Question Development		1 hour ago	Expert	Est. Budget:
Rating is 0 out of 5.	Hourly	30+ hrs/week	$0	USA	Payment verified	https://www.upwork.com/jobs/Data-Scientist-Needed-for-Fault-Location-Automation-and-Optimization-Relay-and-Protection-Systems_~021883686532386896540/?referrer_url_path=find_work_home	Data Scientist Needed for Fault Location Automation and Optimization in Relay and Protection Systems		4 hours ago	Intermediate	Est. Time:
Rating is 0 out of 5.	Fixed-price	$400	$500	Ghana	Payment verified	https://www.upwork.com/jobs/Website-and-Admin-Dashboard-Development-for-Nursing-Training-Students_~021883685042711157514/?referrer_url_path=find_work_home	Website and Admin Dashboard Development for Nursing Training Students		4 hours ago	Intermediate	Est. Budget:
Rating is 5 out of 5.	Hourly: $15-$35	Less than 30 hrs/week	$1K+	United States	Payment verified	https://www.upwork.com/jobs/Supabase-Deployment-Review-for-Bolt-new-Project_~021883680368562104041/?referrer_url_path=find_work_home	Supabase Deployment Review for Bolt.new Project		5 hours ago	Intermediate	Est. Time:
